Type,A,B
RA,It was clearly a mistake to include Tom in our football team.,"He's just not a team player, and often goes it alone."
RA,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,"Plus everyone has to move approx. 3-10 times in his or her life,"
CA,Hence it is good when shops are not open on Sundays and public holidays.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't."
RA,the statutory retirement age should in the future not remain at 63 years.,"and furthermore, due to today's healthcare most people in many occupations are fitter for work in old age than before."
RA,Fear of punishment hence does not deter murderers.,Despite the death penalty there are significantly more homicides in the US than in Germany.
RA,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,"in general, however, a clean environment and the role model effect of others is more likely to motivate the dog owner to pick up the droppings than a potential fine."
CA,Anti-virus software protects the users of a computer from dangers from the internet.,"Admittedly they do not generally prevent you from catching a virus,"
RA,The current tour of Tokio Hotel is breaking all records.,But at times even the online sales outlets haven't been coping with the demand.
RA,dispensing it without medical advice would be inappropriate.,"Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that, however, have fewer health effects."
RA,There should be much higher fines for dog dirt left on pavements.,Stepping in dog dirt is gross and absolutely ruins your day
RA,"The implementation of retirement at 63 is no longer socially sustainable,",and constantly declining birth rates are being recorded.
RA,you should buy IBM shares if you want to invest.,"and in addition, such a share is not as sensitive as those of other IT companies."
RA,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",Voters have become more sceptical.
RA,Tuition fees should not generally be charged by universities.,"Universities are for all citizens, independent of their finances."
RA,I think Fritz has never been in a fight in his life.,And he always chickens out when things get dicey.
RA,The prototype of Audi's new sports car has car lovers raving.,But aside from that the car caters to pretty much every wish.
CA,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,"Even though politicians stress the Christian character of our country,"
RA,"If this carries more weight, many good individual assignments done during the course of study may be obscured.",But one can make occasional mistakes in the thesis.
RA,"Dog owners should pay higher fines for dog dirt left on pavements,","The city, especially the green spaces, should be kept tidy after all,"
RA,so this has hardly any effect on the level of full-time employment and the number of unemployed.,"However it's mainly temps (that is, students, pupils etc.) who are employed,"
RA,That's why causing such obstacles must to be more urgently punished.,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
RA,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,And it’s only the large companies that can afford the additional personnel expenditure.
RA,dispensing it without medical advice would be inappropriate.,"Since the impact of the morning-after pill is so massive, particularly due to its abortive effect,"
RA,We urgently need a midfield replacement for the coming match.,Schweinsteiger has now been injured for three days.
RA,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",These areas will be upgraded economically due to these factors (housing health and employment).
RA,"Besides, the purchase of such CDs is unnecessary today,","as, due to changed terms of business, many banks urge their customers to turn themselves in."
CA,School uniforms should not be worn in our schools.,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.
CA,Health insurance companies should naturally cover alternative medical treatments.,"Not all practices and approaches that are lumped together under this term may have been proven in clinical trials,"
CA,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,","Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
RA,"Various skills are promoted and required by different games,","including planning abilities, reaction time, and reasoning to name but a few."
RA,"as they can adjust their expenses through the increase,","and also the tenants,"
CA,That's why causing such obstacles must to be more urgently punished.,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
RA,"This helps the landlords,",as they have more pull in the end anyway.
RA,The current tour of Tokio Hotel is breaking all records.,Never have there been longer queues at the advance ticket offices
RA,A door must remain open for making amends.,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion."
RA,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.
RA,the EU should not intervene in local politics.,possible supporters face a considerably stronger opponent in the intervention of Russia in local politics.
CA,The EU should exert influence on the political events in Ukraine.,"Indeed one could argue that a country has to deal with internal political changes itself,"
RA,"Dog owners should pay higher fines for dog dirt left on pavements,",One reason for this is that they have thus far hardly had to fear the consequences despite the obligation to clean up.
RA,Actually it would be justified if all German universities charged tuition fees.,It's always possible to take out a student loan or to earn a scholarship.
CA,Critics point out that they are not using what's on offer by public broadcasting.,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.
RA,"One should not re-introduce capital punishment in Germany,",since no one can claim the right to rule over the life or death of another human being.
RA,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,"which are often less costly than medication from conventional medicine, which are also paid for after all."
RA,Energy saving light bulbs contain a significant amount of toxins.,A commercially available bulb may contain for example up to five milligrams of mercury.
RA,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too."
RA,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",For safety reasons alone I find continued operation wrong.
RA,so that this ideal appears unworthy of support in many ways.,"Having said that, state funds are often wasted on nonsensical investments,"
RA,It would be fair to make them into an Olympic event.,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!"
CA,Not everyone should be obliged to pay the TV & radio licence.,The TV & radio licence enables economically independent journalism.
RA,"Alternative treatments should be subsidized in the same way as conventional treatments,","Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,"
RA,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.,"and, moreover, entails significant risks and side effects."
RA,They should not be spent on personal preferences without proven use.,Yet the funds of the health insurance companies are a common benefit for all premium payers.
CA,"If a university lacks the funds, sponsors must be found.",Unfortunately this can lead to disagreeable dependencies in some cases.
RA,Opening on Sundays and holidays would therefore help both customers and shops.,"Thus smaller shops could benefit from the additional freedom,"
CA,The TV license fee should only be collected from those who actually make use of the programming of the public broadcasters.,However it is obvious that the license fee officers are not in a position to check the usage of every single device.
RA,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.
RA,The death penalty should be abandoned everywhere.,From a Christian and humanistic perspective it is not allowed to kill someone.
RA,Increasing penalties is therefore the right way.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!
RA,"Intelligence services should be more closely regulated by parliament,",Checks could contribute to restricting the so far rather opaque scope of action of individual services.
RA,"One should not re-introduce capital punishment in Germany,",Everyone must be given the chance to hone their conscience and possibly make amends for their deed.
RA,The morning-after pill ought to be available over-the-counter in pharmacies.,and an unwanted pregnancy can place a significant strain on both the parents and the child for the rest of their lives.
CA,There should be much higher fines for dog dirt left on pavements.,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,"
CA,"What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on",although they have taken or destroyed another life?
CA,The death penalty is a legal means that as such is not practicable in Germany.,"Even if many people think that a murderer has already decided on the life or death of another person,"
CA,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.
RA,Tomorrow I will skydive for the first time in my life.,and it mustn't be that this wannabe-adventurer has one up on me.
RA,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.
RA,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,"Besides, the purchase of such CDs is unnecessary today,"
RA,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,It is an asset for the economy.
RA,The universities in Germany should not under any circumstances charge tuition fees.,This would impede or prevent access to those who are financially weaker.
CA,the statutory retirement age should in the future not remain at 63 years.,Although the workload is getting heavier in many professions
RA,The EU should exert influence on the political events in Ukraine.,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with."
RA,"After the new BER Airport has been commissioned, Tegel should definitely be closed.","Also, Berlin urgently needs inner-city areas for business and industry, and for housing."
RA,"No, the retirement age should be raised to 65 again.",but they are not sicker and not duller because of it.
CA,"This helps the landlords,","Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
CA,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.,Yet then they misjudge its impact on road traffic.
RA,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,Also streets and shops would presumably be emptier
CA,the EU should not intervene in local politics.,"Despite the severe clashes in Kiev, which at times have threatened to escalate,"
RA,It would be fair to make them into an Olympic event.,"And many a video game is physically and particularly mentally more demanding, when I think of the last FIFA tournament's final, than kicking a ball 20 metres."
RA,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,Thus social security and pension costs are increasing.
RA,The anticipated objectives of tuition fees can be achieved by other means.,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.
RA,It is quite clear that Sunday should remain a day of rest.,"For you can go shopping 6 days a week,"
CA,Health insurance companies should not cover treatment in complementary medicine,Patients do often report relief of their complaints after such treatments.
RA,A constant increase in rent upon a change of tenants hence cannot be desired by society.,'Property entails commitment' is one of the tenets of our social order.
RA,"This helps the landlords,","as they can adjust their expenses through the increase,"
RA,Freddy and I must be siblings.,and you only get that with siblings.
CA,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.,and a request for an early termination of a pregnancy is the right of every woman.
RA,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,"Being a pharmacist myself,"
RA,A cap on rent increases upon tenant change is therefore not to be supported.,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment."
RA,Tax data that are not made available for free should therefore not be acquired by the state.,"Besides, the trading of information is obviously driven by greed of gain."
RA,Actually it would be justified if all German universities charged tuition fees.,"As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice."
RA,"The city, especially the green spaces, should be kept tidy after all,",for they are there for our recreation.
RA,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",it could even be used for social housing with affordable rents.
CA,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.","For a good overall grade opens many doors,"
RA,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
RA,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.","Curiously, however, there are still adverts and product placements on the public channels."
RA,It is quite clear that Sunday should remain a day of rest.,"Furthermore, there's no need to keep shops open on Sundays."
CA,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,",but according to this logic one could hardly make the taxpayer accountable for almost any offense.
RA,German universities should on no account charge tuition fees.,This would simply mean that only those people with wealthy parents or a previous education and a part-time job while studying would be able to apply for a degree programme in the first place.
RA,Those who do or try to should be held accountable if at all possible.,It is desirable that no one channels his or her wealth past the tax authorities.
CA,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.",It is in fact good to support sophisticated programming through fees.
RA,"Plus the hurdle to make video games Olympic events is minimal,","as you don't even need doping tests, only a neutral console."
RA,which may reduce discrimination of financially and/or socially disadvantaged children.,"This provides an at least superficial equalization in our heavily economically oriented society,"
RA,It was clearly a mistake to include Tom in our football team.,"Plus he comes to training way too rarely,"
RA,We should go to the Baltic Sea on the weekend.,"Besides, I get to use my folks' big, comfy car."
RA,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,"For in this way, Sunday shopping days would be better spread out through the year."
CA,We should go to the Baltic Sea on the weekend.,even if I do have to prepare a presentation for Tuesday.
RA,'An eye for an eye' seems to miss the point.,Fear of punishment hence does not deter murderers.
RA,That's why everyone should have an anti-virus programme on his or her Windows machine.,Anti-virus software protects the users of a computer from dangers from the internet.
RA,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,Complementary medicine includes treatments with proven health benefits in many areas
RA,That's why everyone should have an anti-virus programme on his or her Windows machine.,"But once a safeguard has been found against a new virus, everyone gets it in no time through the automatic update."
RA,We don't need it.,Handing out capital punishment is unethical.
CA,Facebook warns me emphatically that I may lose contact with my friends.,And yet now I'll actually have all the more time for them.
CA,and you only get that with siblings.,My parents say this could also be pure coincidence.
RA,Hence it is good when shops are not open on Sundays and public holidays.,"Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper."
RA,There should be a higher fine for dog dirt on the pavement.,Dog dirt is disgusting and a hygiene problem.
CA,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.","Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves."
RA,But it's not that simple.,I would kill it without further thought.
CA,dispensing it without medical advice would be inappropriate.,The state ought not to restrict medical products or medical treatments for moral reasons as long as they don't do damage to others.
RA,so there's no advantage for the current paying viewers of the public broadcasters.,"By now you have advertising on all channels,"
CA,Current regulations for the calculation of the total grade should therefore be maintained.,Indeed the preparation of such a scientific work is a fundamental competency that must be acquired in philological degrees.
CA,The morning-after pill ought to be available over-the-counter in pharmacies.,"Some worry about careless use of such measures,"
RA,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.,which ultimately also saves costs for conventional treatments and medication.
RA,The TV license fee should only be collected from those who actually make use of the programming of the public broadcasters.,After all there are many people in Germany who pay the fee although they merely use a computer to work.
RA,Rent prices should be limited by a cap when there's a change of tenant.,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.
RA,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
RA,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,For affordable living space is scarce.
RA,the EU should intervene right away.,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war."
CA,Due to the many random factors the bachelor thesis should not play a bigger role.,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.
CA,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,Yet no one should be required to work for more than 40 years.
CA,The death penalty should be abandoned everywhere.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.
RA,"Intelligence services should be more closely regulated by parliament,","for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services."
RA,Secret services must be more tightly regulated in order to prevent excessive surveillance.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
CA,the statutory retirement age should in the future not remain at 63 years.,"and physical and psychological wear on personnel is steadily increasing,"
RA,"The developments in that conflict should not be left to former Cold War opponents alone,",for that course can only lead to escalation in some form.
RA,but the German services evidently do collaborate with them closely.,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
CA,It would therefore be wise to adjust the required effort for final theses accordingly.,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
RA,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,",which in turn would result in generally clean pavements.
RA,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.","With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well."
RA,German universities should on no account charge tuition fees.,Even without tuition fees half of the student population has to work while studying and hence has less time for studying or recreation.
RA,"That's why they should be taken off the market,",Energy saving light bulbs contain a significant amount of toxins.
RA,computer games should also not be recognized as Olympic events.,"Since however skat, chess etc. are not accepted as Olympic events,"
CA,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,"Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic,"
CA,"BER should be re-conceptualized from scratch,",even if billions of Euros have already been invested in the existing airport project
CA,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,The negative impact of air traffic however is considerable.
RA,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.,No one can follow their activities in detail.
CA,That's why the statutory health insurance companies should not cover such treatments.,Many people see proven relief of their symptoms and complaints by complementary medicine.
RA,Intelligence services must urgently be regulated more tightly by parliament;,this should be clear to everyone after the disclosures of Edward Snowden.
RA,"Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that, however, have fewer health effects.",For instance the morning-after pill could result in a decrease in the use of condoms and thus lead to an increase in new infections with Aids.
RA,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Rather it should give people the chance to have a mental break.
RA,Tuition fees should not be charged in Germany.,Studying and taking higher degrees must remain a basic right for everyone.
RA,Particularly the younger generations are no longer dependent on the programming of public broadcasters.,and online magazines are turned to instead of the “Tagesthemen”.
RA,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
RA,Berlin's basketball team has just come out of a sobering season.,Especially the home games have seen the team stay behind expectations.
RA,For safety reasons alone I find continued operation wrong.,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.
RA,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","For years there has been a housing shortage in Berlin,"
RA,"Admittedly they do not generally prevent you from catching a virus,",since they can only react to publicly known threats.
RA,Germany should by no means introduce capital punishment.,"If there were capital punishment, this would mean people are allowed to put themselves above others and rule over their lives."
RA,The morning-after pill ought to be available over-the-counter in pharmacies.,Even with state-of-the-art contraceptives there can be mistakes and problems
CA,Secret services must be more tightly regulated in order to prevent excessive surveillance.,Parliamentary control however hampers the work of intelligence services
RA,The death penalty is a legal means that as such is not practicable in Germany.,"For one thing, inviolable human dignity is anchored in our constitution,"
RA,We should thus all limit our consumption of meat rigorously.,"Furthermore, the production of meat is comparably resource-intensive."
RA,The death penalty should be abandoned everywhere.,Moreover it turns out time and again that innocent people are also convicted and executed.
RA,"No, the retirement age should be raised to 65 again.",And we'd have to offer more leisure activities for seniors.
RA,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.",Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?
CA,Increasing penalties is therefore the right way.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
RA,With those kinds of amounts you think twice about whether you really want to stay in the flat.,"If there must be rent increases, there should also be a cap to avoid nasty surprises."
RA,There should be a higher fine for dog dirt on the pavement.,"Also children, adults and other animals aren't allowed to leave droppings on the pavement."
CA,We should thus all limit our consumption of meat rigorously.,One could worry that our farmers would then run into economic difficulties.
RA,"This helps the landlords,",With those kinds of amounts you think twice about whether you really want to stay in the flat.
RA,computer games should also not be recognized as Olympic events.,Olympic events are rooted in old traditions.
RA,which is why students also ought to be involved in this cost factor.,"Quality at universities has its price,"
CA,"Still, the state needs the death penalty as a deterrent to horrific crimes.","Capital punishment is not a solution,"
CA,Tax data that are not made available for free should therefore not be acquired by the state.,Those who do or try to should be held accountable if at all possible.
RA,Increasing penalties is therefore the right way.,Pieces of dog poo on the pavements are a real danger.
RA,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete."
RA,A reduction in the amount of chemically produced medication per person is most certainly desirable.,"From time immemorial humans have had complementary medicine,"
RA,"No, the retirement age should be raised to 65 again.",Without them we'd forgo a great deal of collected experience.
RA,It was clearly a mistake to include Tom in our football team.,But the worst thing is his habit of always complaining to the referee.
RA,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.","Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons."
CA,Therefore universities should not charge tuition fees in Germany.,which is why students also ought to be involved in this cost factor.
RA,Today I will delete my Facebook account.,Not only because I'm constantly astonished about who wants to be my friend.
CA,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.","Some may find the idea of a school uniform anachronistic,"
RA,"A bank bailout is very, very costly.","For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount."
